ID,CRIME,ZN,INDUS,RIVER,AGE,LSTAT
1171,0.08826,0.0,10.81,FAR,6.6,6.72
1172,0.15876,0.0,10.81,FAR,17.5,9.88
1173,0.09164,0.0,10.81,FAR,7.8,5.52
1174,0.19539,0.0,10.81,FAR,6.2,
1175,0.07896,0.0,12.83,FAR,,6.78
1176,0.09512,0.0,12.83,FAR,45.0,8.94
1177,0.10153,0.0,12.83,FAR,74.5,11.97
1178,0.08707,0.0,12.83,FAR,45.8,10.27
1179,0.05646,0.0,12.83,FAR,53.7,12.34
1180,0.08387,0.0,12.83,FAR,36.6,
1181,0.04113,25.0,4.86,FAR,33.5,5.29
1182,0.04462,25.0,4.86,FAR,70.4,7.22
1183,0.03659,25.0,4.86,FAR,32.2,6.72
1184,0.03551,25.0,4.86,FAR,46.7,7.51
1185,0.05059,0.0,4.49,FAR,48.0,9.62
1186,0.05735,0.0,4.49,FAR,56.1,6.53
1187,0.05188,0.0,4.49,FAR,45.1,12.86
1188,0.07151,0.0,4.49,FAR,56.8,
1189,0.0566,0.0,3.41,FAR,86.3,5.5
1190,0.05302,0.0,3.41,FAR,63.1,5.7
1191,0.04684,0.0,3.41,FAR,66.1,8.81
1192,0.03932,0.0,3.41,FAR,73.9,8.2
1193,0.04203,,15.04,FAR,53.6,8.16
1194,0.02875,28.0,15.04,FAR,28.9,6.21
1195,0.04294,28.0,15.04,FAR,77.3,10.59
1196,0.12204,0.0,2.89,FAR,57.8,6.65
1197,0.11504,0.0,2.89,FAR,69.6,11.34
1198,0.12083,0.0,2.89,FAR,76.0,4.21
1199,0.08187,0.0,2.89,FAR,36.9,3.57
1200,0.0686,0.0,2.89,FAR,62.5,6.19
1201,0.14866,0.0,8.56,FAR,79.9,9.42
1202,0.11432,0.0,8.56,FAR,71.3,7.67
1203,0.22876,0.0,8.56,FAR,85.4,10.63
1204,0.21161,0.0,8.56,FAR,,13.44
1205,0.1396,0.0,8.56,FAR,90.0,12.33
1206,0.13262,0.0,8.56,FAR,96.7,16.47
1207,0.1712,0.0,8.56,FAR,91.9,18.66
1208,0.13117,0.0,8.56,FAR,85.2,14.09
1209,0.12802,0.0,8.56,FAR,97.1,12.27
1210,0.26363,0.0,8.56,FAR,91.2,15.55
1211,0.10793,0.0,8.56,FAR,54.4,13.0
1212,0.10084,0.0,10.01,FAR,81.6,10.16
1213,0.12329,0.0,10.01,FAR,92.9,16.21
1214,0.22212,0.0,10.01,FAR,95.4,17.09
1215,0.14231,0.0,10.01,FAR,84.2,10.45
1216,,0.0,10.01,FAR,88.2,15.76
1217,0.13158,0.0,10.01,FAR,72.5,
1218,0.15098,0.0,10.01,FAR,82.6,10.3
1219,0.13058,,10.01,FAR,73.1,15.37
1220,0.14476,0.0,10.01,,65.2,13.61
1221,0.06899,0.0,25.65,FAR,69.7,14.37
1222,0.07165,0.0,25.65,FAR,84.1,14.27
1223,0.09299,0.0,25.65,FAR,92.9,17.93
1224,0.15038,0.0,,FAR,97.0,25.41
1225,0.09849,0.0,25.65,FAR,95.8,17.58
1226,0.16902,0.0,25.65,FAR,88.4,14.81
1227,0.38735,0.0,25.65,FAR,,27.26
1228,0.25915,0.0,21.89,FAR,96.0,17.19
1229,0.32543,0.0,21.89,FAR,98.8,15.39
1230,0.88125,0.0,21.89,FAR,94.7,18.34
1231,0.34006,0.0,21.89,FAR,98.9,12.6
1232,1.19294,0.0,21.89,FAR,97.7,12.26
1233,0.59005,0.0,21.89,FAR,97.9,11.12
1234,0.32982,,,FAR,95.4,15.03
1235,0.97617,0.0,21.89,FAR,98.4,17.31
1236,0.55778,0.0,21.89,FAR,98.2,16.96
1237,0.32264,0.0,21.89,FAR,93.5,16.9
1238,0.35233,0.0,21.89,FAR,98.4,14.59
1239,0.2498,0.0,21.89,FAR,,21.32
1240,0.54452,0.0,21.89,FAR,97.9,18.46
1241,0.2909,0.0,21.89,FAR,93.6,24.16
1242,1.62864,0.0,21.89,FAR,100.0,34.41
1243,3.32105,0.0,19.58,NEAR,100.0,26.82
1244,4.0974,0.0,19.58,FAR,100.0,26.42
1245,2.77974,0.0,19.58,FAR,97.8,29.29
1246,2.37934,0.0,19.58,FAR,100.0,27.8
1247,2.15505,,19.58,FAR,100.0,16.65
1248,2.36862,0.0,,FAR,95.7,29.53
1249,2.33099,0.0,,FAR,93.8,28.32
1250,2.73397,0.0,19.58,FAR,94.9,21.45
1251,1.6566,0.0,19.58,FAR,,14.1
1252,1.49632,0.0,19.58,FAR,100.0,13.28
1253,1.12658,0.0,19.58,,88.0,12.12
1254,2.14918,0.0,19.58,FAR,98.5,15.79
1255,1.41385,0.0,19.58,NEAR,96.0,15.12
1256,3.53501,0.0,19.58,NEAR,,15.02
1257,2.44668,0.0,19.58,FAR,94.0,16.14
1258,1.22358,,19.58,FAR,97.4,4.59
1259,1.34284,0.0,19.58,FAR,100.0,6.43
1260,1.42502,0.0,19.58,FAR,100.0,7.39
1261,1.27346,0.0,19.58,NEAR,92.6,5.5
1262,1.46336,0.0,19.58,FAR,90.8,1.73
1263,1.83377,0.0,19.58,NEAR,98.2,1.92
1264,1.51902,0.0,19.58,NEAR,,3.32
1265,2.24236,0.0,19.58,FAR,91.8,11.64
1266,2.924,0.0,19.58,FAR,93.0,9.81
1267,2.01019,0.0,19.58,FAR,96.2,3.7
1268,1.80028,,19.58,FAR,79.2,12.14
1269,2.3004,0.0,19.58,FAR,96.1,11.1
1270,2.44953,0.0,19.58,FAR,95.2,11.32
1271,1.20742,0.0,19.58,FAR,94.6,14.43
1272,2.3139,0.0,19.58,FAR,97.3,12.03
1273,0.13914,0.0,4.05,FAR,88.5,14.69
1274,0.09178,0.0,,FAR,,9.04
1275,0.08447,0.0,4.05,FAR,68.7,9.64
1276,0.06664,0.0,4.05,FAR,33.1,5.33
1277,0.07022,0.0,4.05,FAR,47.2,10.11
1278,0.05425,0.0,,FAR,73.4,6.29
1279,0.06642,0.0,4.05,FAR,74.4,6.92
1280,0.0578,0.0,2.46,FAR,58.4,5.04
1281,0.06588,0.0,2.46,FAR,83.3,7.56
1282,0.06888,0.0,2.46,FAR,62.2,9.45
1283,0.09103,0.0,2.46,FAR,92.2,4.82
1284,,0.0,2.46,FAR,95.6,5.68
1285,0.08308,0.0,2.46,FAR,89.8,13.98
1286,0.06047,0.0,2.46,FAR,68.8,13.15
1287,0.05602,,2.46,FAR,53.6,4.45
1288,0.07875,45.0,3.44,FAR,41.1,6.68
1289,0.12579,45.0,3.44,FAR,29.1,4.56
1290,0.0837,45.0,3.44,FAR,38.9,5.39
1291,0.09068,45.0,3.44,FAR,21.5,5.1
1292,,45.0,3.44,FAR,30.8,4.69
1293,,45.0,3.44,FAR,26.3,2.87
1294,0.02187,60.0,2.93,FAR,,5.03
1295,0.01439,60.0,2.93,FAR,18.8,4.38
1296,0.01381,80.0,0.46,FAR,32.0,2.97
1297,,80.0,1.52,FAR,34.1,4.08
1298,0.04666,80.0,1.52,FAR,36.6,8.61
1299,0.03768,80.0,1.52,FAR,38.3,6.62
1300,0.0315,95.0,1.47,FAR,15.3,4.56
1301,0.01778,95.0,1.47,FAR,13.9,4.45
1302,0.03445,82.5,2.03,FAR,38.4,7.43
1303,0.02177,82.5,2.03,FAR,15.7,3.11
1304,0.0351,95.0,2.68,FAR,33.2,3.81
1305,0.02009,95.0,2.68,FAR,31.9,2.88
1306,0.13642,,10.59,FAR,22.3,10.87
1307,0.22969,0.0,10.59,,52.5,10.97
1308,0.25199,0.0,10.59,FAR,72.7,
1309,0.13587,0.0,10.59,NEAR,59.1,14.66
1310,0.43571,0.0,10.59,NEAR,100.0,23.09
1311,0.17446,,10.59,NEAR,92.1,17.27
1312,0.37578,0.0,10.59,NEAR,88.6,23.98
1313,0.21719,0.0,10.59,NEAR,53.8,16.03
1314,0.14052,0.0,10.59,FAR,32.3,9.38
1315,0.28955,0.0,10.59,FAR,9.8,29.55
1316,0.19802,0.0,10.59,FAR,,9.47
1317,0.0456,0.0,13.89,NEAR,56.0,13.51
1318,0.07013,0.0,13.89,FAR,85.1,9.69
1319,0.11069,0.0,13.89,NEAR,93.8,17.92
1320,0.11425,0.0,,NEAR,92.4,10.5
1321,0.35809,0.0,6.2,NEAR,88.5,9.71
1322,0.40771,0.0,6.2,NEAR,91.3,21.46
1323,0.62356,0.0,6.2,NEAR,77.7,9.93
1324,0.6147,0.0,6.2,FAR,80.8,7.6
1325,0.31533,0.0,6.2,FAR,78.3,4.14
1326,0.52693,0.0,6.2,FAR,83.0,4.63
1327,0.38214,0.0,6.2,FAR,86.5,
1328,0.41238,0.0,6.2,FAR,79.9,6.36
1329,0.29819,0.0,6.2,FAR,17.0,
1330,,0.0,6.2,FAR,21.4,3.76
1331,0.537,0.0,6.2,FAR,68.1,11.65
1332,0.46296,0.0,6.2,FAR,76.9,5.25
1333,0.57529,0.0,6.2,FAR,73.3,2.47
1334,0.33147,0.0,6.2,FAR,,3.95
1335,0.44791,0.0,6.2,NEAR,66.5,8.05
1336,0.33045,0.0,6.2,FAR,61.5,10.88
1337,,0.0,6.2,NEAR,76.5,9.54
1338,0.51183,0.0,6.2,FAR,71.6,4.73
1339,0.08244,,4.93,FAR,18.5,6.36
1340,0.09252,30.0,4.93,FAR,42.2,7.37
1341,0.11329,30.0,4.93,,54.3,11.38
1342,,30.0,4.93,FAR,65.1,12.4
1343,0.1029,30.0,4.93,FAR,52.9,11.22
1344,0.12757,30.0,4.93,FAR,7.8,5.19
1345,0.20608,22.0,5.86,FAR,76.5,12.5
1346,0.19133,22.0,,,70.2,18.46
1347,0.33983,22.0,5.86,FAR,34.9,9.16
1348,0.19657,22.0,5.86,FAR,79.2,10.15
1349,0.16439,22.0,5.86,FAR,49.1,9.52
1350,0.19073,22.0,5.86,FAR,17.5,6.56
1351,0.1403,22.0,5.86,FAR,13.0,5.9
1352,0.21409,22.0,5.86,FAR,8.9,3.59
1353,0.08221,22.0,5.86,FAR,6.8,3.53
