ID,NOX,ROOM,DIS_CENTER,ROAD_ACCESS,TAX,PTRATIO,B,MEDV
1143,0.448,6.169,5.7209,GOOD,233,17.9,383.37,25.3
1144,0.448,6.211,5.7209,GOOD,233,17.9,394.46,24.7
1145,0.448,6.069,5.7209,GOOD,233,17.9,389.39,21.2
1146,0.448,5.682,5.1004,GOOD,233,17.9,396.9,19.3
1147,0.448,5.786,5.1004,GOOD,233,17.9,396.9,20.0
1148,0.448,6.03,5.6894,GOOD,233,17.9,392.74,16.6
1149,0.448,5.399,5.87,GOOD,233,17.9,396.9,14.4
1150,0.448,5.602,6.0877,GOOD,233,17.9,396.9,19.4
1151,0.439,5.963,6.8147,NORMAL,243,16.8,395.56,19.7
1152,0.439,6.115,6.8147,NORMAL,243,16.8,393.97,20.5
1153,0.439,6.511,6.8147,NORMAL,243,16.8,396.9,25.0
1154,0.439,5.998,6.8147,NORMAL,243,16.8,396.9,23.4
1155,0.41,5.888,7.3197,GOOD,469,21.1,396.9,18.9
1156,0.403,7.249,8.6966,NORMAL,226,17.9,395.93,35.4
1157,0.41,6.383,9.1876,GOOD,313,17.3,396.9,24.7
1158,0.411,6.816,8.3248,NORMAL,256,15.1,392.9,31.6
1159,0.453,6.145,7.8148,BAD,284,19.7,390.68,23.3
1160,0.453,5.927,6.932,BAD,284,19.7,396.9,19.6
1161,0.453,5.741,7.2254,BAD,284,19.7,395.11,18.7
1162,0.453,5.966,6.8185,BAD,284,19.7,378.08,16.0
1163,0.453,6.456,7.2255,BAD,284,19.7,396.9,22.2
1164,0.453,6.762,7.9809,BAD,284,19.7,395.58,25.0
1165,0.4161,7.104,9.2229,GOOD,216,18.6,393.24,33.0
1166,0.398,6.29,6.6115,NORMAL,337,16.1,396.9,23.5
1167,0.398,5.787,6.6115,NORMAL,337,16.1,396.9,19.4
1168,0.409,5.878,6.498,NORMAL,345,18.9,396.21,22.0
1169,0.409,5.594,6.498,NORMAL,345,18.9,396.9,17.4
1170,0.409,5.885,6.498,NORMAL,345,18.9,396.9,20.9
1171,0.413,6.417,5.2873,NORMAL,305,19.2,383.73,24.2
1172,0.413,5.961,5.2873,NORMAL,305,19.2,376.94,21.7
1173,0.413,6.065,5.2873,NORMAL,305,19.2,390.91,22.8
1174,0.413,6.245,5.2873,NORMAL,305,19.2,377.17,23.4
1175,0.437,6.273,4.2515,NORMAL,398,18.7,394.92,24.1
1176,0.437,6.286,4.5026,NORMAL,398,18.7,383.23,21.4
1177,0.437,6.279,4.0522,NORMAL,398,18.7,373.66,20.0
1178,0.437,6.14,4.0905,NORMAL,398,18.7,386.96,20.8
1179,0.437,6.232,5.0141,NORMAL,398,18.7,386.4,21.2
1180,0.437,5.874,4.5026,NORMAL,398,18.7,396.06,20.3
1181,0.426,6.727,5.4007,NORMAL,281,19.0,396.9,28.0
1182,0.426,6.619,5.4007,NORMAL,281,19.0,395.63,23.9
1183,0.426,6.302,5.4007,NORMAL,281,19.0,396.9,24.8
1184,0.426,6.167,5.4007,NORMAL,281,19.0,390.64,22.9
1185,0.449,6.389,4.7794,GOOD,247,18.5,396.9,23.9
1186,0.449,6.63,4.4377,GOOD,247,18.5,392.3,26.6
1187,0.449,6.015,4.4272,GOOD,247,18.5,395.99,22.5
1188,0.449,6.121,3.7476,GOOD,247,18.5,395.15,22.2
1189,0.489,7.007,3.4217,GOOD,270,17.8,396.9,23.6
1190,0.489,7.079,3.4145,GOOD,270,17.8,396.06,28.7
1191,0.489,6.417,3.0923,GOOD,270,17.8,392.18,22.6
1192,0.489,6.405,3.0921,GOOD,270,17.8,393.55,22.0
1193,0.464,6.442,3.6659,NORMAL,270,18.2,395.01,22.9
1194,0.464,6.211,3.6659,NORMAL,270,18.2,396.33,25.0
1195,0.464,6.249,3.615,NORMAL,270,18.2,396.9,20.6
1196,0.445,6.625,3.4952,GOOD,276,18.0,357.98,28.4
1197,0.445,6.163,3.4952,GOOD,276,18.0,391.83,21.4
1198,0.445,8.069,3.4952,GOOD,276,18.0,396.9,38.7
1199,0.445,7.82,3.4952,GOOD,276,18.0,393.53,43.8
1200,0.445,7.416,3.4952,GOOD,276,18.0,396.9,33.2
1201,0.52,6.727,2.7778,NORMAL,384,20.9,394.76,27.5
1202,0.52,6.781,2.8561,NORMAL,384,20.9,395.58,26.5
1203,0.52,6.405,2.7147,NORMAL,384,20.9,70.8,18.6
1204,0.52,6.137,2.7147,NORMAL,384,20.9,394.47,19.3
1205,0.52,6.167,2.421,NORMAL,384,20.9,392.69,20.1
1206,0.52,5.851,2.1069,NORMAL,384,20.9,394.05,19.5
1207,0.52,5.836,2.211,NORMAL,384,20.9,395.67,19.5
1208,0.52,6.127,2.1224,NORMAL,384,20.9,387.69,20.4
1209,0.52,6.474,2.4329,NORMAL,384,20.9,395.24,19.8
1210,0.52,6.229,2.5451,NORMAL,384,20.9,391.23,19.4
1211,0.52,6.195,2.7778,NORMAL,384,20.9,393.49,21.7
1212,0.547,6.715,2.6775,NORMAL,432,17.8,395.59,22.8
1213,0.547,5.913,2.3534,NORMAL,432,17.8,394.95,18.8
1214,0.547,6.092,2.548,NORMAL,432,17.8,396.9,18.7
1215,0.547,6.254,2.2565,NORMAL,432,17.8,388.74,18.5
1216,0.547,5.928,2.4631,NORMAL,432,17.8,344.91,18.3
1217,0.547,6.176,2.7301,NORMAL,432,17.8,393.3,21.2
1218,0.547,6.021,2.7474,NORMAL,432,17.8,394.51,19.2
1219,0.547,5.872,2.4775,NORMAL,432,17.8,338.63,20.4
1220,0.547,5.731,2.7592,NORMAL,432,17.8,391.5,19.3
1221,0.581,5.87,2.2577,GOOD,188,19.1,389.15,22.0
1222,0.581,6.004,2.1974,GOOD,188,19.1,377.67,20.3
1223,0.581,5.961,2.0869,GOOD,188,19.1,378.09,20.5
1224,0.581,5.856,1.9444,GOOD,188,19.1,370.31,17.3
1225,0.581,5.879,2.0063,GOOD,188,19.1,379.38,18.8
1226,0.581,5.986,1.9929,GOOD,188,19.1,385.02,21.4
1227,0.581,5.613,1.7572,GOOD,188,19.1,359.29,15.7
1228,0.624,5.693,1.7883,NORMAL,437,21.2,392.11,16.2
1229,0.624,6.431,1.8125,NORMAL,437,21.2,396.9,18.0
1230,0.624,5.637,1.9799,NORMAL,437,21.2,396.9,14.3
1231,0.624,6.458,2.1185,NORMAL,437,21.2,395.04,19.2
1232,0.624,6.326,2.271,NORMAL,437,21.2,396.9,19.6
1233,0.624,6.372,2.3274,NORMAL,437,21.2,385.76,23.0
1234,0.624,5.822,2.4699,NORMAL,437,21.2,388.69,18.4
1235,0.624,5.757,2.346,NORMAL,437,21.2,262.76,15.6
1236,0.624,6.335,2.1107,NORMAL,437,21.2,394.67,18.1
1237,0.624,5.942,1.9669,NORMAL,437,21.2,378.25,17.4
1238,0.624,6.454,1.8498,NORMAL,437,21.2,394.08,17.1
1239,0.624,5.857,1.6686,NORMAL,437,21.2,392.04,13.3
1240,0.624,6.151,1.6687,NORMAL,437,21.2,396.9,17.8
1241,0.624,6.174,1.6119,NORMAL,437,21.2,388.08,14.0
1242,0.624,5.019,1.4394,NORMAL,437,21.2,396.9,14.4
1243,0.871,5.403,1.3216,NORMAL,403,14.7,396.9,13.4
1244,0.871,5.468,1.4118,NORMAL,403,14.7,396.9,15.6
1245,0.871,4.903,1.3459,NORMAL,403,14.7,396.9,11.8
1246,0.871,6.13,1.4191,NORMAL,403,14.7,172.91,13.8
1247,0.871,5.628,1.5166,NORMAL,403,14.7,169.27,15.6
1248,0.871,4.926,1.4608,NORMAL,403,14.7,391.71,14.6
1249,0.871,5.186,1.5296,NORMAL,403,14.7,356.99,17.8
1250,0.871,5.597,1.5257,NORMAL,403,14.7,351.85,15.4
1251,0.871,6.122,1.618,NORMAL,403,14.7,372.8,21.5
1252,0.871,5.404,1.5916,NORMAL,403,14.7,341.6,19.6
1253,0.871,5.012,1.6102,NORMAL,403,14.7,343.28,15.3
1254,0.871,5.709,1.6232,NORMAL,403,14.7,261.95,19.4
1255,0.871,6.129,1.7494,NORMAL,403,14.7,321.02,17.0
1256,0.871,6.152,1.7455,NORMAL,403,14.7,88.01,15.6
1257,0.871,5.272,1.7364,NORMAL,403,14.7,88.63,13.1
1258,0.605,6.943,1.8773,NORMAL,403,14.7,363.43,41.3
1259,0.605,6.066,1.7573,NORMAL,403,14.7,353.89,24.3
1260,0.871,6.51,1.7659,NORMAL,403,14.7,364.31,23.3
1261,0.605,6.25,1.7984,NORMAL,403,14.7,338.92,27.0
1262,0.605,7.489,1.9709,NORMAL,403,14.7,374.43,50.0
1263,0.605,7.802,2.0407,NORMAL,403,14.7,389.61,50.0
1264,0.605,8.375,2.162,NORMAL,403,14.7,388.45,50.0
1265,0.605,5.854,2.422,NORMAL,403,14.7,395.11,22.7
1266,0.605,6.101,2.2834,NORMAL,403,14.7,240.16,25.0
1267,0.605,7.929,2.0459,NORMAL,403,14.7,369.3,50.0
1268,0.605,5.877,2.4259,NORMAL,403,14.7,227.61,23.8
1269,0.605,6.319,2.1,NORMAL,403,14.7,297.09,23.8
1270,0.605,6.402,2.2625,NORMAL,403,14.7,330.04,22.3
1271,0.605,5.875,2.4259,NORMAL,403,14.7,292.29,17.4
1272,0.605,5.88,2.3887,NORMAL,403,14.7,348.13,19.1
1273,0.51,5.572,2.5961,NORMAL,296,16.6,396.9,23.1
1274,0.51,6.416,2.6463,NORMAL,296,16.6,395.5,23.6
1275,0.51,5.859,2.7019,NORMAL,296,16.6,393.23,22.6
1276,0.51,6.546,3.1323,NORMAL,296,16.6,390.96,29.4
1277,0.51,6.02,3.5549,NORMAL,296,16.6,393.23,23.2
1278,0.51,6.315,3.3175,NORMAL,296,16.6,395.6,24.6
1279,0.51,6.86,2.9153,NORMAL,296,16.6,391.27,29.9
1280,0.488,6.98,2.829,GOOD,193,17.8,396.9,37.2
1281,0.488,7.765,2.741,GOOD,193,17.8,395.56,39.8
1282,0.488,6.144,2.5979,GOOD,193,17.8,396.9,36.2
1283,0.488,7.155,2.7006,GOOD,193,17.8,394.12,37.9
1284,0.488,6.563,2.847,GOOD,193,17.8,396.9,32.5
1285,0.488,5.604,2.9879,GOOD,193,17.8,391.0,26.4
1286,0.488,6.153,3.2797,GOOD,193,17.8,387.11,29.6
1287,0.488,7.831,3.1992,GOOD,193,17.8,392.63,50.0
1288,0.437,6.782,3.7886,NORMAL,398,15.2,393.87,32.0
1289,0.437,6.556,4.5667,NORMAL,398,15.2,382.84,29.8
1290,0.437,7.185,4.5667,NORMAL,398,15.2,396.9,34.9
1291,0.437,6.951,6.4798,NORMAL,398,15.2,377.68,37.0
1292,0.437,6.739,6.4798,NORMAL,398,15.2,389.71,30.5
1293,0.437,7.178,6.4798,NORMAL,398,15.2,390.49,36.4
1294,0.401,6.8,6.2196,BEST,265,15.6,393.37,31.1
1295,0.401,6.604,6.2196,BEST,265,15.6,376.7,29.1
1296,0.422,7.875,5.6484,NORMAL,255,14.4,394.23,50.0
1297,0.404,7.287,7.309,GOOD,329,15.0,396.9,33.3
1298,0.404,7.107,7.309,GOOD,329,15.0,354.31,30.3
1299,0.404,7.274,7.309,GOOD,329,15.0,392.2,34.6
1300,0.403,6.975,7.6534,GOOD,402,17.0,396.9,34.9
1301,0.403,7.135,7.6534,GOOD,402,17.0,384.3,32.9
1302,0.415,6.162,6.27,GOOD,348,14.7,393.77,24.1
1303,0.415,7.61,6.27,GOOD,348,14.7,395.38,42.3
1304,0.4161,7.853,5.118,NORMAL,224,14.7,392.78,48.5
1305,0.4161,8.034,5.118,NORMAL,224,14.7,390.55,50.0
1306,0.489,5.891,3.9454,NORMAL,277,18.6,396.9,22.6
1307,0.489,6.326,4.3549,NORMAL,277,18.6,394.87,24.4
1308,0.489,5.783,4.3549,NORMAL,277,18.6,389.43,22.5
1309,0.489,6.064,4.2392,NORMAL,277,18.6,381.32,24.4
1310,0.489,5.344,3.875,NORMAL,277,18.6,396.9,20.0
1311,0.489,5.96,3.8771,NORMAL,277,18.6,393.25,21.7
1312,0.489,5.404,3.665,NORMAL,277,18.6,395.24,19.3
1313,0.489,5.807,3.6526,NORMAL,277,18.6,390.94,22.4
1314,0.489,6.375,3.9454,NORMAL,277,18.6,385.81,28.1
1315,0.489,5.412,3.5875,NORMAL,277,18.6,348.93,23.7
1316,0.489,6.182,3.9454,NORMAL,277,18.6,393.63,25.0
1317,0.55,5.888,3.1121,NORMAL,276,16.4,392.8,23.3
1318,0.55,6.642,3.4211,NORMAL,276,16.4,392.78,28.7
1319,0.55,5.951,2.8893,NORMAL,276,16.4,396.9,21.5
1320,0.55,6.373,3.3633,NORMAL,276,16.4,393.74,23.0
1321,0.507,6.951,2.8617,BAD,307,17.4,391.7,26.7
1322,0.507,6.164,3.048,BAD,307,17.4,395.24,21.7
1323,0.507,6.879,3.2721,BAD,307,17.4,390.39,27.5
1324,0.507,6.618,3.2721,BAD,307,17.4,396.9,30.1
1325,0.504,8.266,2.8944,BAD,307,17.4,385.05,44.8
1326,0.504,8.725,2.8944,BAD,307,17.4,382.0,50.0
1327,0.504,8.04,3.2157,BAD,307,17.4,387.38,37.6
1328,0.504,7.163,3.2157,BAD,307,17.4,372.08,31.6
1329,0.504,7.686,3.3751,BAD,307,17.4,377.51,46.7
1330,0.504,6.552,3.3751,BAD,307,17.4,380.34,31.5
1331,0.504,5.981,3.6715,BAD,307,17.4,378.35,24.3
1332,0.504,7.412,3.6715,BAD,307,17.4,376.14,31.7
1333,0.507,8.337,3.8384,BAD,307,17.4,385.91,41.7
1334,0.507,8.247,3.6519,BAD,307,17.4,378.95,48.3
1335,0.507,6.726,3.6519,BAD,307,17.4,360.2,29.0
1336,0.507,6.086,3.6519,BAD,307,17.4,376.75,24.0
1337,0.507,6.631,4.148,BAD,307,17.4,388.45,25.1
1338,0.507,7.358,4.148,BAD,307,17.4,390.07,31.5
1339,0.428,6.481,6.1899,NORMAL,300,16.6,379.41,23.7
1340,0.428,6.606,6.1899,NORMAL,300,16.6,383.78,23.3
1341,0.428,6.897,6.3361,NORMAL,300,16.6,391.25,22.0
1342,0.428,6.095,6.3361,NORMAL,300,16.6,394.62,20.1
1343,0.428,6.358,7.0355,NORMAL,300,16.6,372.75,22.2
1344,0.428,6.393,7.0355,NORMAL,300,16.6,374.71,23.7
1345,0.431,5.593,7.9549,BAD,330,19.1,372.49,17.6
1346,0.431,5.605,7.9549,BAD,330,19.1,389.13,18.5
1347,0.431,6.108,8.0555,BAD,330,19.1,390.18,24.3
1348,0.431,6.226,8.0555,BAD,330,19.1,376.14,20.5
1349,0.431,6.433,7.8265,BAD,330,19.1,374.71,24.5
1350,0.431,6.718,7.8265,BAD,330,19.1,393.74,26.2
1351,0.431,6.487,7.3967,BAD,330,19.1,396.28,24.4
1352,0.431,6.438,7.3967,BAD,330,19.1,377.07,24.8
1353,0.431,6.957,8.9067,BAD,330,19.1,386.09,29.6
