ID,NOX,ROOM,DIS_CENTER,ROAD_ACCESS,TAX,PTRATIO,B,MEDV
1406,0.472,6.616,3.37,BAD,222,18.4,393.36,28.4
1407,0.472,7.42,3.0992,BAD,222,18.4,396.9,33.4
1408,0.472,6.849,3.1827,BAD,222,18.4,396.9,28.2
1409,0.544,6.635,3.3175,NORMAL,304,18.4,396.9,22.8
1410,0.544,5.972,3.1025,NORMAL,304,18.4,396.24,20.3
1411,0.544,4.973,2.5194,NORMAL,304,18.4,350.45,16.1
1412,0.544,6.122,2.6403,NORMAL,304,18.4,396.9,22.1
1413,0.544,6.023,2.834,NORMAL,304,18.4,396.3,19.4
1414,0.544,6.266,3.2628,NORMAL,304,18.4,393.39,21.6
1415,0.544,6.567,3.6023,NORMAL,304,18.4,395.69,23.8
1416,0.544,5.705,3.945,NORMAL,304,18.4,396.42,16.2
1417,0.544,5.914,3.9986,NORMAL,304,18.4,390.7,17.8
1418,0.544,5.782,4.0317,NORMAL,304,18.4,396.9,19.8
1419,0.544,6.382,3.5325,NORMAL,304,18.4,395.21,23.1
1420,0.544,6.113,4.0019,NORMAL,304,18.4,396.23,21.0
1421,0.493,6.426,4.5404,NORMAL,287,19.6,396.9,23.8
1422,0.493,6.376,4.5404,NORMAL,287,19.6,396.9,23.1
1423,0.493,6.041,4.7211,NORMAL,287,19.6,396.9,20.4
1424,0.493,5.708,4.7211,NORMAL,287,19.6,391.13,18.5
1425,0.493,6.415,4.7211,NORMAL,287,19.6,396.9,25.0
1426,0.493,6.431,5.4159,NORMAL,287,19.6,393.68,24.6
1427,0.493,6.312,5.4159,NORMAL,287,19.6,396.9,23.0
1428,0.493,6.083,5.4159,NORMAL,287,19.6,396.9,22.2
1429,0.46,5.868,5.2146,NORMAL,430,16.9,382.44,19.3
1430,0.46,6.333,5.2146,NORMAL,430,16.9,375.21,22.6
1431,0.46,6.144,5.8736,NORMAL,430,16.9,368.57,19.8
1432,0.4379,5.706,6.6407,BEST,304,16.9,394.02,17.1
1433,0.4379,6.031,6.6407,BEST,304,16.9,362.25,19.4
1434,0.515,6.316,6.4584,NORMAL,224,20.2,389.71,22.2
1435,0.515,6.31,6.4584,NORMAL,224,20.2,389.4,20.7
1436,0.515,6.037,5.9853,NORMAL,224,20.2,396.9,21.1
1437,0.515,5.869,5.2311,NORMAL,224,20.2,396.9,19.5
1438,0.515,5.895,5.615,NORMAL,224,20.2,394.81,18.5
1439,0.515,6.059,4.8122,NORMAL,224,20.2,396.14,20.6
1440,0.515,5.985,4.8122,NORMAL,224,20.2,396.9,19.0
1441,0.515,5.968,4.8122,NORMAL,224,20.2,396.9,18.7
1442,0.442,7.241,7.0379,BEST,284,15.5,394.74,32.7
1443,0.518,6.54,6.2669,BEST,422,15.9,389.96,16.5
1444,0.484,6.696,5.7321,NORMAL,370,17.6,396.9,23.9
1445,0.484,6.874,6.4654,NORMAL,370,17.6,387.97,31.2
1446,0.442,6.014,8.0136,GOOD,352,18.8,385.64,17.5
1447,0.442,5.898,8.0136,GOOD,352,18.8,364.61,17.2
1448,0.429,6.516,8.5353,NORMAL,351,17.9,392.43,23.1
1449,0.435,6.635,8.344,NORMAL,280,17.0,390.94,24.5
1450,0.429,6.939,8.7921,BEST,335,19.7,389.85,26.6
1451,0.429,6.49,8.7921,BEST,335,19.7,396.9,22.9
1452,0.411,6.579,10.7103,NORMAL,411,18.3,370.78,24.1
1453,0.411,5.884,10.7103,NORMAL,411,18.3,392.33,18.6
1454,0.41,6.728,12.1265,NORMAL,187,17.0,384.46,30.1
1455,0.413,5.663,10.5857,NORMAL,334,22.0,382.8,18.2
1456,0.413,5.936,10.5857,NORMAL,334,22.0,376.04,20.6
1457,0.77,6.212,2.1222,WORST,666,20.2,377.73,17.8
1458,0.77,6.395,2.5052,WORST,666,20.2,391.34,21.7
1459,0.77,6.127,2.7227,WORST,666,20.2,395.43,22.7
1460,0.77,6.112,2.5091,WORST,666,20.2,390.74,22.6
1461,0.77,6.398,2.5182,WORST,666,20.2,374.56,25.0
1462,0.77,6.251,2.2955,WORST,666,20.2,350.65,19.9
1463,0.77,5.362,2.1036,WORST,666,20.2,380.79,20.8
1464,0.77,5.803,1.9047,WORST,666,20.2,353.04,16.8
1465,0.718,8.78,1.9047,WORST,666,20.2,354.55,21.9
1466,0.718,3.561,1.6132,WORST,666,20.2,354.7,27.5
1467,0.718,4.963,1.7523,WORST,666,20.2,316.03,21.9
1468,0.631,3.863,1.5106,WORST,666,20.2,131.42,23.1
1469,0.631,4.97,1.3325,WORST,666,20.2,375.52,50.0
1470,0.631,6.683,1.3567,WORST,666,20.2,375.33,50.0
1471,0.631,7.016,1.2024,WORST,666,20.2,392.05,50.0
1472,0.631,6.216,1.1691,WORST,666,20.2,366.15,50.0
1473,0.668,5.875,1.1296,WORST,666,20.2,347.88,50.0
1474,0.668,4.906,1.1742,WORST,666,20.2,396.9,13.8
1475,0.668,4.138,1.137,WORST,666,20.2,396.9,13.8
1476,0.671,7.313,1.3163,WORST,666,20.2,396.9,15.0
1477,0.671,6.649,1.3449,WORST,666,20.2,363.02,13.9
1478,0.671,6.794,1.358,WORST,666,20.2,396.9,13.3
1479,0.671,6.38,1.3861,WORST,666,20.2,396.9,13.1
1480,0.671,6.223,1.3861,WORST,666,20.2,393.74,10.2
1481,0.671,6.968,1.4165,WORST,666,20.2,396.9,10.4
1482,0.671,6.545,1.5192,WORST,666,20.2,396.9,10.9
1483,0.7,5.536,1.5804,WORST,666,20.2,396.9,11.3
1484,0.7,5.52,1.5331,WORST,666,20.2,396.9,12.3
1485,0.7,4.368,1.4395,WORST,666,20.2,285.83,8.8
1486,0.7,5.277,1.4261,WORST,666,20.2,396.9,7.2
1487,0.7,4.652,1.4672,WORST,666,20.2,396.9,10.5
1488,0.7,5.0,1.5184,WORST,666,20.2,396.9,7.4
1489,0.7,4.88,1.5895,WORST,666,20.2,372.92,10.2
1490,0.7,5.39,1.7281,WORST,666,20.2,396.9,11.5
1491,0.7,5.713,1.9265,WORST,666,20.2,394.43,15.1
1492,0.7,6.051,2.1678,WORST,666,20.2,378.38,23.2
1493,0.7,5.036,1.77,WORST,666,20.2,396.9,9.7
1494,0.693,6.193,1.7912,WORST,666,20.2,396.9,13.8
1495,0.693,5.887,1.7821,WORST,666,20.2,396.9,12.7
1496,0.693,6.471,1.7257,WORST,666,20.2,391.98,13.1
1497,0.693,6.405,1.6768,WORST,666,20.2,396.9,12.5
1498,0.693,5.747,1.6334,WORST,666,20.2,393.1,8.5
1499,0.693,5.453,1.4896,WORST,666,20.2,396.9,5.0
1500,0.693,5.852,1.5004,WORST,666,20.2,338.16,6.3
1501,0.693,5.987,1.5888,WORST,666,20.2,396.9,5.6
1502,0.693,6.343,1.5741,WORST,666,20.2,396.9,7.2
1503,0.693,6.404,1.639,WORST,666,20.2,376.11,12.1
1504,0.693,5.349,1.7028,WORST,666,20.2,396.9,8.3
1505,0.693,5.531,1.6074,WORST,666,20.2,329.46,8.5
1506,0.693,5.683,1.4254,WORST,666,20.2,384.97,5.0
1507,0.659,4.138,1.1781,WORST,666,20.2,370.22,11.9
1508,0.659,5.608,1.2852,WORST,666,20.2,332.09,27.9
1509,0.597,5.617,1.4547,WORST,666,20.2,314.64,17.2
1510,0.597,6.852,1.4655,WORST,666,20.2,179.36,27.5
1511,0.597,5.757,1.413,WORST,666,20.2,2.6,15.0
1512,0.597,6.657,1.5275,WORST,666,20.2,35.05,17.2
1513,0.597,4.628,1.5539,WORST,666,20.2,28.79,17.9
1514,0.597,5.155,1.5894,WORST,666,20.2,210.97,16.3
1515,0.693,4.519,1.6582,WORST,666,20.2,88.27,7.0
1516,0.679,6.434,1.8347,WORST,666,20.2,27.25,7.2
1517,0.679,6.782,1.8195,WORST,666,20.2,21.57,7.5
1518,0.679,5.304,1.6475,WORST,666,20.2,127.36,10.4
1519,0.679,5.957,1.8026,WORST,666,20.2,16.45,8.8
1520,0.718,6.824,1.794,WORST,666,20.2,48.45,8.4
1521,0.718,6.411,1.8589,WORST,666,20.2,318.75,16.7
1522,0.718,6.006,1.8746,WORST,666,20.2,319.98,14.2
1523,0.614,5.648,1.9512,WORST,666,20.2,291.55,20.8
1524,0.614,6.103,2.0218,WORST,666,20.2,2.52,13.4
1525,0.584,5.565,2.0635,WORST,666,20.2,3.65,11.7
1526,0.679,5.896,1.9096,WORST,666,20.2,7.68,8.3
1527,0.584,5.837,1.9976,WORST,666,20.2,24.65,10.2
1528,0.679,6.202,1.8629,WORST,666,20.2,18.82,10.9
1529,0.679,6.193,1.9356,WORST,666,20.2,96.73,11.0
1530,0.679,6.38,1.9682,WORST,666,20.2,60.72,9.5
1531,0.584,6.348,2.0527,WORST,666,20.2,83.45,14.5
1532,0.584,6.833,2.0882,WORST,666,20.2,81.33,14.1
1533,0.584,6.425,2.2004,WORST,666,20.2,97.95,16.1
1534,0.713,6.436,2.3158,WORST,666,20.2,100.19,14.3
1535,0.713,6.208,2.2222,WORST,666,20.2,100.63,11.7
1536,0.74,6.629,2.1247,WORST,666,20.2,109.85,13.4
1537,0.74,6.461,2.0026,WORST,666,20.2,27.49,9.6
1538,0.74,6.152,1.9142,WORST,666,20.2,9.32,8.7
1539,0.74,5.935,1.8206,WORST,666,20.2,68.95,8.4
1540,0.74,5.627,1.8172,WORST,666,20.2,396.9,12.8
1541,0.74,5.818,1.8662,WORST,666,20.2,391.45,10.5
1542,0.74,6.406,2.0651,WORST,666,20.2,385.96,17.1
1543,0.74,6.219,2.0048,WORST,666,20.2,395.69,18.4
1544,0.74,6.485,1.9784,WORST,666,20.2,386.73,15.4
1545,0.74,5.854,1.8956,WORST,666,20.2,240.52,10.8
1546,0.74,6.459,1.9879,WORST,666,20.2,43.06,11.8
1547,0.74,6.341,2.072,WORST,666,20.2,318.01,14.9
1548,0.74,6.251,2.198,WORST,666,20.2,388.52,12.6
1549,0.713,6.185,2.2616,WORST,666,20.2,396.9,14.1
1550,0.713,6.417,2.185,WORST,666,20.2,304.21,13.0
1551,0.713,6.749,2.3236,WORST,666,20.2,0.32,13.4
1552,0.713,6.655,2.3552,WORST,666,20.2,355.29,15.2
1553,0.713,6.297,2.3682,WORST,666,20.2,385.09,16.1
1554,0.713,7.393,2.4527,WORST,666,20.2,375.87,17.8
1555,0.713,6.728,2.4961,WORST,666,20.2,6.68,14.9
1556,0.713,6.525,2.4358,WORST,666,20.2,50.92,14.1
1557,0.713,5.976,2.5806,WORST,666,20.2,10.48,12.7
1558,0.713,5.936,2.7792,WORST,666,20.2,3.5,13.5
1559,0.713,6.301,2.7831,WORST,666,20.2,272.21,14.9
1560,0.713,6.081,2.7175,WORST,666,20.2,396.9,20.0
1561,0.713,6.701,2.5975,WORST,666,20.2,255.23,16.4
1562,0.713,6.376,2.5671,WORST,666,20.2,391.43,17.7
1563,0.713,6.317,2.7344,WORST,666,20.2,396.9,19.5
1564,0.713,6.513,2.8016,WORST,666,20.2,393.82,20.2
1565,0.655,6.209,2.9634,WORST,666,20.2,396.9,21.4
1566,0.655,5.759,3.0665,WORST,666,20.2,334.4,19.9
1567,0.655,5.952,2.8715,WORST,666,20.2,22.01,19.0
1568,0.584,6.003,2.5403,WORST,666,20.2,331.29,19.1
1569,0.58,5.926,2.9084,WORST,666,20.2,368.74,19.1
1570,0.58,5.713,2.8237,WORST,666,20.2,396.9,20.1
1571,0.58,6.167,3.0334,WORST,666,20.2,396.9,19.9
1572,0.532,6.229,3.0993,WORST,666,20.2,395.33,19.6
1573,0.58,6.437,2.8965,WORST,666,20.2,393.37,23.2
1574,0.614,6.98,2.5329,WORST,666,20.2,374.68,29.8
1575,0.584,5.427,2.4298,WORST,666,20.2,352.58,13.8
1576,0.584,6.162,2.206,WORST,666,20.2,302.76,13.3
1577,0.614,6.484,2.3053,WORST,666,20.2,396.21,16.7
1578,0.614,5.304,2.1007,WORST,666,20.2,349.48,12.0
1579,0.614,6.185,2.1705,WORST,666,20.2,379.7,14.6
1580,0.614,6.229,1.9512,WORST,666,20.2,383.32,21.4
1581,0.532,6.242,3.4242,WORST,666,20.2,396.9,23.0
1582,0.532,6.75,3.3317,WORST,666,20.2,393.07,23.7
1583,0.532,7.061,3.4106,WORST,666,20.2,395.28,25.0
1584,0.532,5.762,4.0983,WORST,666,20.2,392.92,21.8
1585,0.583,5.871,3.724,WORST,666,20.2,370.73,20.6
1586,0.583,6.312,3.9917,WORST,666,20.2,388.62,21.2
1587,0.583,6.114,3.5459,WORST,666,20.2,392.68,19.1
1588,0.583,5.905,3.1523,WORST,666,20.2,388.22,20.6
1589,0.609,5.454,1.8209,NORMAL,711,20.1,395.09,15.2
1590,0.609,5.414,1.7554,NORMAL,711,20.1,344.05,7.0
1591,0.609,5.093,1.8226,NORMAL,711,20.1,318.43,8.1
1592,0.609,5.983,1.8681,NORMAL,711,20.1,390.11,13.6
1593,0.609,5.983,2.1099,NORMAL,711,20.1,396.9,20.1
1594,0.585,5.707,2.3817,NORMAL,391,19.2,396.9,21.8
1595,0.585,5.926,2.3817,NORMAL,391,19.2,396.9,24.5
1596,0.585,5.67,2.7986,NORMAL,391,19.2,393.29,23.1
1597,0.585,5.39,2.7986,NORMAL,391,19.2,396.9,19.7
1598,0.585,5.794,2.8927,NORMAL,391,19.2,396.9,18.3
1599,0.585,6.019,2.4091,NORMAL,391,19.2,396.9,21.2
1600,0.585,5.569,2.3999,NORMAL,391,19.2,395.77,17.5
1601,0.585,6.027,2.4982,NORMAL,391,19.2,396.9,16.8
1602,0.573,6.593,2.4786,BEST,273,21.0,391.99,22.4
1603,0.573,6.12,2.2875,BEST,273,21.0,396.9,20.6
1604,0.573,6.976,2.1675,BEST,273,21.0,396.9,23.9
1605,0.573,6.794,2.3889,BEST,273,21.0,393.45,22.0
1606,0.573,6.03,2.505,BEST,273,21.0,396.9,11.9
