ID,CRIME,ZN,INDUS,RIVER,AGE,LSTAT
1454,0.01709,90.0,2.02,FAR,36.1,4.5
1455,0.04301,80.0,1.91,FAR,21.9,8.05
1456,0.10659,,1.91,FAR,,5.57
1457,8.98296,0.0,18.1,NEAR,97.4,17.6
1458,3.8497,0.0,18.1,NEAR,91.0,13.27
1459,5.20177,0.0,18.1,NEAR,83.4,11.48
1460,4.26131,0.0,,FAR,81.3,12.67
1461,4.54192,0.0,18.1,FAR,88.0,7.79
1462,3.83684,0.0,18.1,FAR,91.1,14.19
1463,3.67822,0.0,18.1,FAR,96.2,10.19
1464,4.22239,0.0,18.1,NEAR,89.0,14.64
1465,3.47428,0.0,18.1,NEAR,82.9,5.29
1466,4.55587,0.0,18.1,FAR,87.9,7.12
1467,3.69695,0.0,18.1,FAR,91.4,14.0
1468,13.5222,0.0,18.1,,100.0,13.33
1469,4.89822,0.0,18.1,FAR,,3.26
1470,,0.0,18.1,NEAR,96.8,3.73
1471,6.53876,0.0,18.1,NEAR,97.5,2.96
1472,9.2323,0.0,18.1,FAR,100.0,9.53
1473,8.26725,0.0,18.1,NEAR,89.6,8.88
1474,11.1081,0.0,18.1,FAR,100.0,34.77
1475,18.4982,0.0,18.1,FAR,100.0,37.97
1476,19.6091,,18.1,FAR,97.9,13.44
1477,15.288,0.0,18.1,,93.3,
1478,9.82349,0.0,18.1,FAR,98.8,21.24
1479,23.6482,0.0,18.1,FAR,96.2,23.69
1480,17.8667,0.0,18.1,FAR,100.0,21.78
1481,88.9762,0.0,18.1,FAR,91.9,17.21
1482,15.8744,0.0,18.1,FAR,99.1,21.08
1483,9.18702,0.0,18.1,FAR,100.0,23.6
1484,7.99248,0.0,18.1,FAR,100.0,
1485,20.0849,0.0,18.1,FAR,91.2,30.63
1486,16.8118,0.0,18.1,FAR,98.1,30.81
1487,24.3938,0.0,18.1,FAR,100.0,28.28
1488,22.5971,0.0,18.1,FAR,89.5,31.99
1489,14.3337,0.0,18.1,,100.0,30.62
1490,8.15174,0.0,18.1,FAR,98.9,20.85
1491,6.96215,0.0,18.1,FAR,97.0,17.11
1492,5.29305,0.0,18.1,FAR,82.5,18.76
1493,11.5779,0.0,18.1,FAR,97.0,25.68
1494,,0.0,18.1,FAR,92.6,15.17
1495,,0.0,18.1,FAR,94.7,16.35
1496,8.71675,0.0,18.1,FAR,98.8,17.12
1497,5.87205,0.0,18.1,FAR,96.0,19.37
1498,7.67202,0.0,18.1,FAR,98.9,19.92
1499,38.3518,0.0,18.1,FAR,100.0,30.59
1500,9.91655,0.0,18.1,FAR,77.8,29.97
1501,25.0461,0.0,18.1,FAR,100.0,26.77
1502,14.2362,0.0,18.1,,100.0,20.32
1503,9.59571,0.0,18.1,FAR,100.0,20.31
1504,24.8017,0.0,18.1,FAR,96.0,19.77
1505,41.5292,0.0,18.1,FAR,85.4,27.38
1506,67.9208,0.0,18.1,FAR,100.0,22.98
1507,20.7162,0.0,,FAR,100.0,23.34
1508,11.9511,0.0,18.1,FAR,100.0,
1509,7.40389,0.0,18.1,FAR,97.9,26.4
1510,,0.0,18.1,FAR,100.0,19.78
1511,51.1358,0.0,18.1,FAR,100.0,10.11
1512,14.0507,0.0,18.1,FAR,100.0,21.22
1513,18.811,0.0,18.1,FAR,100.0,34.37
1514,28.6558,0.0,18.1,FAR,100.0,20.08
1515,45.7461,0.0,18.1,FAR,100.0,36.98
1516,18.0846,0.0,18.1,FAR,100.0,29.05
1517,10.8342,0.0,18.1,FAR,90.8,25.79
1518,25.9406,0.0,18.1,FAR,89.1,26.64
1519,73.5341,0.0,18.1,FAR,100.0,20.62
1520,11.8123,0.0,18.1,FAR,76.5,22.74
1521,11.0874,0.0,18.1,FAR,100.0,15.02
1522,7.02259,0.0,18.1,FAR,95.3,15.7
1523,12.0482,0.0,18.1,FAR,87.6,14.1
1524,7.05042,0.0,18.1,FAR,,23.29
1525,8.79212,0.0,18.1,FAR,70.6,17.16
1526,15.8603,0.0,18.1,FAR,95.4,24.39
1527,,0.0,18.1,FAR,59.7,15.69
1528,37.6619,,18.1,FAR,78.7,14.52
1529,7.36711,0.0,18.1,FAR,78.1,21.52
1530,9.33889,0.0,18.1,FAR,,24.08
1531,,0.0,18.1,FAR,86.1,17.64
1532,10.0623,0.0,18.1,FAR,94.3,19.69
1533,6.44405,0.0,18.1,FAR,74.8,12.03
1534,5.58107,0.0,18.1,FAR,87.9,16.22
1535,13.9134,0.0,18.1,FAR,95.0,15.17
1536,11.1604,0.0,18.1,FAR,94.6,23.27
1537,14.4208,0.0,18.1,FAR,93.3,18.05
1538,15.1772,0.0,18.1,FAR,100.0,26.45
1539,13.6781,0.0,18.1,FAR,87.9,34.02
1540,9.39063,0.0,18.1,FAR,93.9,22.88
1541,22.0511,0.0,18.1,FAR,92.4,
1542,9.72418,0.0,18.1,FAR,97.2,
1543,5.66637,0.0,18.1,,100.0,16.59
1544,9.96654,0.0,18.1,FAR,100.0,18.85
1545,12.8023,0.0,18.1,FAR,96.6,23.79
1546,10.6718,0.0,18.1,FAR,94.8,23.98
1547,6.28807,0.0,18.1,FAR,96.4,17.79
1548,9.92485,0.0,18.1,FAR,96.6,16.44
1549,9.32909,0.0,18.1,FAR,98.7,18.13
1550,7.52601,0.0,18.1,FAR,98.3,19.31
1551,6.71772,0.0,18.1,,92.6,17.44
1552,5.44114,0.0,18.1,FAR,,17.73
1553,5.09017,0.0,18.1,FAR,91.8,17.27
1554,8.24809,0.0,,FAR,99.3,16.74
1555,9.51363,0.0,18.1,FAR,94.1,18.71
1556,4.75237,0.0,18.1,FAR,86.5,18.13
1557,4.66883,0.0,18.1,FAR,87.9,19.01
1558,8.20058,0.0,18.1,FAR,80.3,16.94
1559,7.75223,,,FAR,83.7,16.23
1560,6.80117,0.0,18.1,FAR,84.4,14.7
1561,,0.0,18.1,FAR,90.0,16.42
1562,3.69311,0.0,18.1,FAR,88.4,14.65
1563,6.65492,0.0,18.1,FAR,83.0,13.99
1564,5.82115,0.0,18.1,FAR,89.9,10.29
1565,7.83932,0.0,18.1,FAR,65.4,13.22
1566,,0.0,18.1,,48.2,14.13
1567,3.77498,0.0,,FAR,84.7,17.15
1568,4.42228,0.0,18.1,FAR,94.5,21.32
1569,15.5757,0.0,18.1,FAR,71.0,18.13
1570,13.0751,0.0,18.1,FAR,56.7,14.76
1571,4.34879,0.0,18.1,FAR,84.0,16.29
1572,4.03841,0.0,18.1,FAR,90.7,12.87
1573,3.56868,0.0,18.1,FAR,75.0,14.36
1574,4.64689,0.0,18.1,FAR,67.6,
1575,8.05579,0.0,18.1,FAR,95.4,18.14
1576,6.39312,0.0,18.1,FAR,97.4,24.1
1577,4.87141,0.0,18.1,FAR,93.6,18.68
1578,15.0234,0.0,18.1,FAR,97.3,24.91
1579,10.233,0.0,18.1,FAR,96.7,18.03
1580,14.3337,0.0,18.1,,88.0,13.11
1581,5.82401,0.0,18.1,FAR,64.7,10.74
1582,5.70818,0.0,18.1,FAR,74.9,7.74
1583,5.73116,0.0,18.1,,77.0,7.01
1584,2.81838,0.0,18.1,FAR,40.3,10.42
1585,2.37857,0.0,18.1,FAR,41.9,13.34
1586,3.67367,0.0,18.1,FAR,51.9,10.58
1587,5.69175,0.0,18.1,FAR,79.8,14.98
1588,4.83567,0.0,18.1,FAR,53.2,11.45
1589,0.15086,0.0,27.74,FAR,92.7,18.06
1590,0.18337,0.0,27.74,FAR,98.3,23.97
1591,0.20746,0.0,27.74,FAR,98.0,29.68
1592,0.10574,0.0,27.74,FAR,98.8,18.07
1593,0.11132,0.0,27.74,FAR,83.5,13.35
1594,0.17331,0.0,9.69,FAR,54.0,12.01
1595,0.27957,0.0,9.69,FAR,42.6,13.59
1596,0.17899,0.0,9.69,FAR,28.8,17.6
1597,0.2896,0.0,9.69,FAR,72.9,21.14
1598,0.26838,0.0,9.69,FAR,70.6,14.1
1599,0.23912,0.0,9.69,FAR,65.3,12.92
1600,0.17783,0.0,9.69,FAR,73.5,15.1
1601,0.22438,0.0,9.69,FAR,79.7,14.33
1602,0.06263,0.0,11.93,FAR,69.1,
1603,0.04527,0.0,11.93,FAR,76.7,9.08
1604,0.06076,0.0,11.93,FAR,91.0,5.64
1605,0.10959,0.0,11.93,FAR,89.3,6.48
1606,0.04741,0.0,11.93,FAR,,7.88
